Membership No  Date Joined  Active  
    93265      2018-10-16   yes   
    43905      2019-11-3    no    
    47120      2020-7-7     no    
    60807      2020-8-18    yes   
    20386      2019-4-4     no    
    29972      2015-12-4    yes   
    58447      2015-5-22    yes   
    95703      2015-9-7     no    
    77567      2020-2-8     yes   
    97147      2020-4-3     no    
    83669      2018-12-22   yes   
    50768      2018-5-22    no    
    70850      2015-1-19    no    
    32816      2017-1-10    yes   
    52982      2019-5-1     no    
    24615      2015-4-14    no    
    12062      2017-1-19    no    
    78908      2016-9-6     no    
    16368      2020-7-1     no    
    62843      2020-4-15    yes   
